Source_Mol,Target_Mol
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,Cc1nc(NC(=O)C(N)CO)sc1-c1cnc(Cl)c(NS(=O)(=O)c2ccccc2)c1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,Cc1nc(NC(=O)CN)sc1-c1cnc(Cl)c(NS(=O)(=O)c2ccccc2)c1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,O=S(=O)(Nc1cc(-c2cnc3[nH]ccc3n2)cnc1Cl)c1ccccc1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CC1CCN(c2cnnc3ccc(-c4cnc(Cl)c(NS(=O)(=O)c5ccccc5)c4)cc23)CC1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CC(C1CC1)N1Cc2cc(-c3ccn4nc(N)c(C(=O)NC5CC5)c4n3)cc(S(=O)(=O)C(C)C)c2C1=O
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CCC(Nc1nc(N)nc(N)c1C#N)c1nc2cccc(CCCCCC(=O)NO)c2c(=O)n1-c1ccccc1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CN(C1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1)S(C)(=O)=O
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,C#Cc1ccc(-c2cc3c(c(-c4cnc(OC)c(NS(C)(=O)=O)c4)c2)CNC3=O)cn1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CCC(C)C(N)C(=O)Nc1nc(C)c(-c2cnc(Cl)c(NS(=O)(=O)c3ccccc3)c2)s1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,COC1CC(c2nc3cccc(Cl)c3c(=O)n2-c2ccccc2)N(c2ncnc(N)c2C#N)C1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,Cc1cc(-c2ccn3nc(N)c(C(=O)NC4CCC(C)(O)CC4)c3n2)cc2c1C(=O)N(C(C)C1CC1)C2
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CCC(=O)N1CCC(Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,Cc1cccc(C)c1-n1c(Cn2nc(-c3ccc4[nH]ccc4c3)c3c(N)ncnc32)nc2cccc(F)c2c1=O
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,Cc1nncn1C1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CC(C)(C)c1nc2c(s1)CCc1nc(NC(=O)N3CCCC3C(N)=O)sc1-2
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,Cc1nc(NC(=O)C(N)C(C)C)sc1-c1cnc(Cl)c(NS(=O)(=O)c2ccc(C(C)C)cc2)c1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,COc1ncc(-c2cc(OC3CCOCC3)c3ncnc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CC(C1CC1)N1Cc2cc(-c3ccn4nc(N)c(C(=O)NC5CC5)c4n3)cc(S(=O)(=O)C3CCC3)c2C1=O
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,Nc1ncnn2c(-c3cccc(N4CCOCC4=O)c3)cc(C(F)(F)F)c12
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,COCC1OC(=O)c2coc3c2C1(C)C1=C(C3=O)C2CCC(=O)C2(C)CC1OC(C)=O
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CCC(Nc1nc(N)nc(C)c1C#N)c1nc2cccc(CCCCCC(=O)NO)c2c(=O)n1-c1ccccc1
COc1ncc(-c2cc(OCC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,CN(C1CCCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1)S(C)(=O)=O
